,Actress_Name,actress_link,Available_photos,Available_videos,Rank,Profile_views,Video_views,Subscribers,Country,Age,Eye,Hair,Height,Weight,Cup,Measurements,Alias,Official_website,Twitter,Instagram,Bio
232,Taylor Sands,https://www.eporner.com/pornstar/taylor-sands/,433,87,234,886413,10836525,55,Netherlands,30,Brown,Brown,"165 cm / 5'5""",52 kg / 115 lbs,B,28C-26-28,Heidi X Art,https://mytaylorsands.com/,https://twitter.com/taylorsandsoff,https://www.instagram.com/taylorsandsss,"It is not often that we come across an actress from the Netherlands, but so when we do, we know to cherish this discovery and watch every clip of her that we can find. one Dutch adult actress that everyone should know about is Taylor Sands. She was born on December 18th, 1992 in the small city of Nijmegen. We are not exactly sure how to pronounce the towns named so bear with us. She has long brown hair and brown eyes and her height is around 5 ft 5 in. She is a B cup and her measurements are 28C-26-28. Her weight usually fluctuates around 115lbs. Before she started working as a porn actress, she answered an ad for an erotic adult model in Portugal and she packed her bags. She started acting in 2015 and has earned herself several nominations in different categories. As of 2018, she has performed in over 180 films."
233,Kristen Scott,https://www.eporner.com/pornstar/kristen-scott/,646,150,235,946281,9830924,116,USA,27,Brown,Blonde,"157 cm / 5'2""", 45 kg / 99 lbs,32A,32-23-35,,https://onlyfans.com/kristenscott,https://twitter.com/krisscottxxx,https://instagram.com/kristenscottx,
234,Richelle Ryan,https://www.eporner.com/pornstar/richelle-ryan/,43,294,236,928961,11206226,91,United States,37,Brown,Brunette,"163 cm / 5'4""",57 kg / 125 lbs,D,34D-25-32,Rachelle Ryaan,,https://twitter.com/RICHELLERYAN,https://instagram.com/onlyrichelleryan,"Richelle Ryan has been in the adult film industry since 2006, so she definitely knows her way around the industry and around the bedroom. Whether she's on her back or bent over on her knees, watching her brown hair sway as she's getting pounded, it's one of the best sights you'll ever see. When you flip her over, stare into her brown eyes, and then listen to her moans. Her breasts are D cups, and her body measurements are 34D-25-32. She is a healthy 125 lbs at 5 feet 4 in. Richelle was born on July 11th, 1985, in the City of Rochester, New York, which gets quite a lot of snow during the winter. Throughout her adult film career, Richelle has received 13 nominations and 4 Awards, including One for Featured Entertainer of the Year and MILF Artist of the Year. She has made 450 films and is still active in the industry."
235,Alina Henessy,https://www.eporner.com/pornstar/alina-henessy/,111,111,237,589024,14361298,16,Russia,33,Hazel,Brown,"168 cm / 5'6""",49 kg / 108 lbs,B,35B-24-35,"Alina H,Amelia,Anika Femjoy,Cosette Ibarra,Deborah Banks,Henessy,Henessy A Met Art,Henessy ATK,Henessy DDF,Henessy Nubiles,Henessy Sapphic,Henessy Twistys,Henessy W4B,Henessy Wetandpuffy,Hennessy Karups,Penelope YLP,Sophia",,https://twitter.com/HenessyAlina,https://instagram.com/Henessyalina,"Russia may not have much going for it these days, with the sanctions and all, but the one thing they do have going for their country is their beautiful women. Alina Henessy is one of those women and she makes us want to scream out Pazalsta, which means please. Alina uses many different names while filming in the adult industry. Some of these names are Olivia, Milia, and Peggy. She was born on November 15th, 1989 in the Soviet Union. She has brown hair and large hazel eyes. Her height is 5ft 6in and she weighs about 108lbs. Alina is a well-built woman who has B cups and her measurements are 35B-24-35. When Alina was 19 years old, she moved to St. Petersburg and started working as a model and she then moved into the adult film industry a few years later in 2008. Over the course of her adult film career, she has been in over 180 films."
236,Jia Lissa,https://www.eporner.com/pornstar/jia-lissa/,444,56,238,684331,12248686,165,Russia,26,Brown,Red,"165 cm / 5'5""", 49 kg / 108 lbs,32A,32-24-35,,,https://twitter.com/Jia_Lissa,https://www.instagram.com/Jialissaonly,
237,Eva Strauss,https://www.eporner.com/pornstar/eva-strauss/,8,34,239,816676,12353844,32,Czech Republic,32,Brown,Brunette,"165 cm / 5'5""",49 kg / 108 lbs,A,34A-25-36,"Ivy,Ivy Femjoy,Ivy X Art,Iwia,Iwia A Met Art,Iwia ALS,Iwia ATK,Iwia Nubiles,Iwia Sapphic,Iwia Twistys,Iwia W4B,Iwia YLP,Iwiaa,Sandra",,,,"If there is one woman in this world that in joist lesbian sex as much as Ellis Ross, then she probably doesn't exist. Eva Strauss is well-known in any lesbian category and most of her movies and scenes focus on lesbian content and female pleasure. But before she was a famous lesbian porn actress, she lived in the Czech Republic and she was born there on September 5th, 1990. Eva has long brunette hair and brown eyes. She is about average height for a woman as she is 5 ft 5 in and her weight is only a hundred 80 lb. Some of the movies she has performed in are Serene Romance, Studio fun, Pocket Girls, and Her First Milf 13. Although she started all the way back in 2011, she's still active to this day. Her bra size is an A and her measurements are 34A-25-36."
238,Charity Crawford,https://www.eporner.com/pornstar/charity-crawford-wBEtl/,285,154,240,1129152,8514192,111,USA,24,Hazel,Brown,"177 cm / 5'10""", 54 kg / 119 lbs,32B,32B-24-34,,,https://twitter.com/bunsOfuns,https://instagram.com/bunsofuns,
239,Kate England,https://www.eporner.com/pornstar/kate-england/,99,172,241,1024628,9749758,37,USA,30,Blue,Blonde,"165 cm / 5'5""",50 kg / 110 lbs,B,36B-26-32,,https://misskateengland.com/,https://twitter.com/kateengland21,https://instagram.com/kate_england21,"It may be a little funny to learn that Kate England is from England at all. She was actually born on January 1st, 1993 in the very American State of Pennsylvania. When she was little she moved down with her family to Florida where she completed high school. At the age of 21 she decided she wanted to start making adult films. And it was good for us that she did. She is a main blond woman with gentle blue eyes. She's about 5 ft 5 in and only weighs 110 lb. But she does have a great rack as her cup sizes a b and her measurements are 36B-26-32. In 2016, she was nominated for over 15 different adult film Awards and she even won the award for Best Vocals. She's still active in the adult professional world and she has already performed in over 300 films and scenes."
240,Cathy Heaven,https://www.eporner.com/pornstar/cathy-heaven-ObzHP/,18,88,242,924251,11420876,62,Hungary,42,Hazel,Brown,"165 cm / 5'5""",60 kg / 132 lbs,C,34C-24-34,"Cathy,Cathy Allure,Cathy ATK,Cathy DDF,Cathy Karups,Cathy Twistys,Chaty Heaven,Kathy Heaven,Katija Sapphic",,https://twitter.com/CathyHeavenXXX,https://instagram.com/cathyheaven01,"Cathy Heaven is certainly a heavenly treat and when we load up her videos, we can’t wait to see her bouncy C cups breasts. She is 5ft 5 in and weighs about 132lbs. She has long brown hair and hazel eyes. Her measurements are 34C-24-34. She was born in Hungary on July 28th, 1980. After she finished high school, she moved on to study economics in college. She worked in the industry for a few years and then when she turned 29, she became a porn actress. If you want to check out some of her films, some of her more popular titles are Perversions of Lesbian Lust, Orgy - The XXX Championship, Seduction in Santorini 2, and It's Huge And In My Ass. Cathy has been nominated for six different awards over her career and has performed in over 250 films. Cathay has worked with the companies Reality Kings, Evil Angel, Digital Playground, and Brazzers."
241,Abella Anderson,https://www.eporner.com/pornstar/abella-anderson/,126,45,243,564584,13493853,121,United States,34,Brown,Black,"157 cm / 5'2""",49 kg / 108 lbs,D,34D-26-38,"Amy Quesada,Anna,Latina Ruvi",,,,"Although Abella’s last name is Anderson, she is a Latina woman through-and-through. She was born in the United States on May 16th,1998 and she is descended from Cuban immigrants. She has always been a small woman because her height is 5' 2"" and she's about 108 pounds. But don't let her small stature fool you. This beautiful Latina woman has D cups in her measurements are 34D-26-38. Yes, that’s right, she has D breasts that jut out from her body and beg for attention. Abella worked hard and acquitted a breast augmentation while she was working in the adult industry. Her natural hair is black, and she dyes it different colors from time to time. Her eyes are brown and she does not use contacts. Although she is now retired, she has performed in over 30 different films and is now a cam girl who works from her own website."
242,Lady Dee,https://www.eporner.com/pornstar/lady-dee-eMIoQ/,208,173,244,919117,10885999,61,Czech Republic,25,Brown,Brunette,"175 cm / 5'9""",49 kg / 108 lbs,A,32-23-34,"Dada J,Dee,Dee Joymii",,,,"Lady Dee is a magnificently built woman and we can only dream to be in between her legs. Her real name is Drahomíra Jůzová and she was born on January 25, 1997. Her hometown is called Ústí nad Labem and it is located in the Czech Republic. She grew up to be a tall and thin girl, as her height is 5ft 9in and she only weighs 108lbs. Her breasts are A cups, but they are still so fun to play with and watch as they bounce up and down. Lady is a brunette and her eyes are brown as well. When she is not working as an adult actress, she also works as an erotic model. Although she has the acting ability to work in any category, she does best performing in lesbian films and videos that center around facials. So far, Lady Dee has performed in 30 films and hopes to make more soon."
243,Liya Silver,https://www.eporner.com/pornstar/liya-silver/,453,62,245,692237,10302791,155,Russia,-,,,,,,,,,https://twitter.com/LiyaSilver,https://instagram.com/yourliya,
244,Mandy Dee,https://www.eporner.com/pornstar/mandy-dee/,228,73,246,711783,11879013,34,Russia,34,Grey,Blonde,"168 cm / 5'6""",52 kg / 114 lbs,D,34D-24-36,"Aelita FemJoy,Amelie Jane,Dorothee Dionne,Lila,Mandi,Mandi Dee,Mandi Sapphic,Mika Bodana,Mika Boolana,Millis A Met Art,Naelya YLP,Sabina Blue,Stacy Nubiles,Tracy Lyons",,,,"Mandy Dee Has one of the best pairs of tits that we have ever seen, and with a 34D-24-36 body, it is a wonder why her parents ever let her out of the house. She’s a natural blond with gray eyes and a tantalizing pair of D cup breasts, which should be licked and sucked at every hour of the day. She is 5 ft 6 in, and she weighs around 114lbs, so any of her partners can easily carry her over their shoulders and drop her on the bed. This sexy bombshell was born on January 23rd, 1988, in the bustling city of St. Petersburg, and she entered the adult film industry when she was 20 years old. She performed under several different names, like Mika Bodana, Mika Boolana, Amelie Jane. While she worked, she appeared in mostly lesbian films, although she did participate in straight orgies and blowjob movies. She officially retired in 2011."
245,Eva Shanti,https://www.eporner.com/pornstar/eva-shanti/,59,159,247,555684,14087475,12,Russia,30,Green,Brown,"168 cm / 5'6""",52 kg / 115 lbs,A,35A-25-36,"Sasha,Taissia,Taissia A,Taissia A Met Art,Taissia Femjoy,Taissia Shanti,Taya,Zsanett",,,,"There are not many women in this world that could convince a man to marry her the second they see her, but Eva Shanti is definitely a woman that needs to be wifed immediately. Because of her Russian Heritage, she has amazing brownish-blonde hair that can only come from her genetics. There's no way her hair color can be found in a bottle. This blushing Beauty was born on November 9th, 1992 and she has grown into a beautiful woman. She's about 5 foot 6 inches and 115 pounds. She is a natural A cup and her measurements are 35A-25-36. She also has green eyes which go well with her complexion. When she was young, she moved to the United States in order to be an adult film actress. Taissia Shanti Gets Banged On The Couch and Blind Date are just some of the movies where you can see her perform."
246,Violet Starr,https://www.eporner.com/pornstar/violet-starr/,199,138,248,1019720,9659323,154,USA,25,Brown,Black,"165 cm / 5'5""", 57 kg / 126 lbs,36C,36-26-38,,https://tapmybio.com/violetstarr,https://twitter.com/VivaLaViolet,https://instagram.com/vivalaviolet,
247,Johnny Sins,https://www.eporner.com/pornstar/johnny-sins/,11,97,249,179014,18479267,32,,-,,,,,,,,,,,
